card_code,variant_label,drive_file_id
KT027,Arte 2,1Y1XZS_zOlVtVhZbGO58xFUtbTB98rYJM
KT028,,1VAm7PIuW6UUYpm6zjdXw4iFxgvOa5cLS
KT029,,1tbQXac9rm1bbGn8qxY_mpbsVhzQV0swZ
KT030,,1aRDCRINYfx_SO-j5PKc7PAmynHYGEdpj
KT031,,1_Rswv3VTLNFC_3HD5-6czZZyyyHX-SCU
KT032,,13vxghYJAOw1A1QqeM9zC-7yxw6BfTT1a
KT033,,1Ow5gpAjzD9WWQ20ERzjQuReyK6of-Inx
KT033,Arte 2,19okJkERLTaqwNduX1ubIN5rUdPNbdVVd
KT034,,11CuqfF3mx_5l82YY4BQEdqEwmgf_y1b5
KT035,,1YhCJWS-0VV60kMOzV__gR2eq1g-JSNDO
KT036,,19S8PBFYZvc_ifEy8OXTWko3NwNhiZSBf
KT037,,1yWmMloIJeYOH-zfiinvhcTSua8WVjW5z
KT038,,1zdcHtVUpiRumnEv-eQhqi5RVzlzRS07Y
KT039,,1ERpTz_fPbS6wlriMxinxXR8_rBopAKlf
KT039,Arte 2,1QullM4oN4EKw1kaPqSG2Of9ChXQzSJPy
KT040,,1CBxwd61fuH_Wmx6VTdkh_H-Mgufvwb7l
KT040,Arte 2,1Ip5vD0fq1F8-mWTSXylrnaw66-li9sNi
KT041,,1Ze_OPZugJ00qHoZH6xyi0aWRzNo7QFXg
KT042,,1LkaaPBbRTkEFbV47wRS6mM33DirI4BC7
KT043,,1npbZDMXi8170uudtvJiETFh1nfGj4rYc
KT043,Arte 2,1iwYiRsrzNQjj4YSIp73Uns0ERPyMZZY7
KT044,,1m08rPtjR8JPmQBepwymPBHmkFOSJnzY7
KT045,,1AHHFb0JDXhJKinNNvS2yx5MqtwAUOqzo
KT045,Arte 2,1wFZW9OZY8Pz7_mF8s_Bm6-jrt38DArkq
KT046,,1NdyFZWk_UHUiYfRR29oKiTtBvriSvR1r
KT047,,1SFX_JFVD7HGh83Cz8hLcmrEgkB7OWfxH
KT048,,1BzsvfUAg9ILkuYQJxmKavGYrOYtIxAB5
KT049,,1uPvfTaXJZxtGi6BcnyR-785Qs16Jwqey
KT050,,1LiKky2Wl0bGzG6aSBWNAWEv4a6uQy0yf
KT051,,11PtJIkEP4T5ij5sBy-EHTo1fNDU54Mnf
KT052,,1yMWt4MF4kBe6uxbFhhCe2hBAL276L5Ng
KT053,,17JSkdskd8JmjkcZFEX1ENgVbTvaXhsuo
KT054,,1MRY6cGE6HZHJOypuz-msi4MP_NQjYyNT
KT055,,1WbtpJHgqkewWz4KYy1NrvFNQrLxP7kie
KT056,,1Rv_7UR1GVZKXbOzE2PLyR8P4j1SyusGq
KT057,,1rFYWluMs3maUdI2f2KKCllcfXTqRFUo0
KT057,Arte 2,1JMW5a-SYHIXbO-JITUuovymxlpXTjL67
KT058,,1UgMUwLQmEL7GEgqdfPm71m4tR-LDs2Fn
KT058,Arte 2,1ZOwowGhwiqb0bwbsb9vhvezx9-btDPA0
KT059,,1hVv4OW1j_RdGr7WrJYKzqc8_x6tcH1_e
KT059,Arte 2,17ow0Xwt93qZQzwcR6f26eFGmzdHENddM
KT060,,1RJsIFvuAAQdJmpwcqcgq8-CyhY0bZaGo
KT060,Arte 2,15KCREIxZB-qNdma3cGzp8qrTE0xmKhRb
KT061,Arte 2,1zi_1kCmzQcjvdoPMfL3m1R0beRx0NFdE
KT062,Arte 2,1tFk1Ob9MdxSsLCfFSyRE9kI4tBUSS14c
KT063,,1LN6iQ8s7nseCMQa3mZ03KSTCEHZwAYa9
KT064,,1G0q9DlOl4L47fgaZCO563Ou-jduooXZK
KT065,,1zwKxC6E42-7m2jqQuWZx713d9uKBGLrt
KT066,,1IoCTyhlSB-wrWqEODp4eUYFniUKqrwdc
KT067,,1twHqHx-Wo7mw5JZhaQ4G3FTzTejMNurc
KT068,,1SYzPpBA96AT_By458Tz5ctEgQRZaG8L5
KT069,,127J2Mw5-nQZKAsTtraSGAY_UtILK5T0R
KT070,,17-ew-5wNjzSnYLqbeZUSLZmNf8jrMopE
KT071,,1bZCS6XOdBUbLqmhYlItIf9LJbl_yjLGS
KT072,,1u1_Ztau_eUoSGQRMAKQT_oWEWfE4PxPu
KT073,,1axnF4WjoOjbck96Q5r71YwQFDeRWCgJp
KT074,,1VL6VGJMoRbeLAx0GMaBfG7cjNiHlObvP
KT075,,1v-8obMmJ_1_BW2XWlHHxiqP59B9oAx87
KT076,,1pyXf9dE7PyfarBvr3SKeoBh48nQaELRY
KT077,,1nr8ZcpX12xUrx5Uxnv7FG4vS9i01rLr8
KT078,,19EjwrnEWPCxzfop78e4mabeccFKuDvrG
KT079,,16c3VSeo87dhIZ3FoqGWpLF2XG9wCAcUv
